156190  | 84979A  | iota A Aps
157042  | 85079   | iota Ara
157244  | 85258   | beta Ara
157246  | 85267   | gamma Ara
157457  | 85312   | kappa Ara
158094  | 85727   | delta Ara
158427  | 85792   | alpha Ara
159217  | 86092   | sigma Ara
159492  | 86305   | pi Ara
160032  | 86486   | lambda Ara
160691  | 86796   | mu Ara
165024  | 88714   | theta Ara
170867  | 90969   | kappa 2 CrA
170868  | 90968   | kappa 1 CrA
170845  | 90982   | theta CrA
172777  | 91875   | lambda CrA
173370  | 91975   | 4 Aql
173654  | 92117   | 5A Aql
173654  | 92118   | 5B Aql
173540  | 92226   | mu CrA
173715  | 92308   | eta 1 CrA
173861  | 92382   | eta 2 CrA
174532  | 92501   | 7 Aql
174589  | 92524   | 8 Aql
175813  | 93174   | epsilon CrA
176232  | 93179   | 10 Aql
176303  | 93203   | 11 Aql
176411  | 93244   | epsilon Aql
176678  | 93429   | 12 Aql
176984  | 93526   | 14 Aql
176638  | 93542   | zeta CrA
177442  | 93716   | 15B Aql
