Hip|HD|BayerFlamsteed|ProperName
||Sol|Sol
  5215| || 
  5219|  6616||
  5224|  6673|| 
  5232|  6475||
  5233|  6414||
  5240|  6497|          | 
  5244|  6614||
  5247| || 
  5248|  6613||
  5251|  6540|          | 
  5253|  6651||
  5256|  6669||
  5259|  6668|          | 
  5260| || 
  5262|  6564||
  5265|  6584||
  5266| ||
  5268|  6793|   Iot Tuc| 
  5269|  6585||
  5270|  6612||
  5273| ||
  5276|  6611||
  5280|  6735||
  5286|  6660|| 
  5296|  6706| 30    Cet| 
  5298|  6646||
  5300|  6767|   Ups Phe| 
  5303|  6645||
  5310|  6695| 79Psi2Psc| 
  5313|  6664||
  5315|  6734||
  5317|  6658| 41    And| 
  5319|  6680| 78    Psc| 
  5321|  6870||
  5327|  6688||
  5335|  6715||
  5336|  6582| 30Mu  Cas| 
  5339|  6714||
  5344|  6761||
  5346|  6763| 80    Psc| 
  5347|  6677||
  5348|  6882|   Zet Phe| 
  5361|  6676|          | 
  5363|  6869||
  5364|  6805| 31Eta Cet| 
  5369| || 
  5370|  6610||
  5372|  5848|          | 
  5373|  6838||
  5387|  6815||
  5389|  6880|| 
  5412|  6473|          | 
  5410| || 
  5414|  6675||
  5416|  6813||
  5428|  6996||
  5434|  6811| 42Phi And| 
  5440|  6795||
  5443| ||
  5444|  6886||
  5447|  6860| 43Bet And|Mirach
  5454|  6903| 81Psi3Psc| 
  5457|  6844||
  5458|  6833||
  5462|  7112||
  5465|  6893||
  5472|  7006||
  5477|  7082|          | 
  5483|  6966|          | 
  5485|  6976| 32    Cet| 
  5488|  7097||
  5493|  6920| 44    And| 
  5494|  6953|          | 
  5496| || 
  5506|  6841||
  5508|  6917||
  5510|  7014| 33    Cet| 
  5512|  6918||
  5518|  6829| 31    Cas| 
  5521|  6963||
  5524|  7048||
  5529|  7199||
  5531|  6840||
  5533|  6962||
  5534|  7047||
  5536|  6948||
  5539|  7093||
  5542|  6961| 33The Cas| 
  5544|  7034| 82    Psc| 
  5550|  7019| 45    And| 
  5551|  7011||
  5554|  7017||
  5559|  7122||
  5566|  6960|          | 
  5571|  7087| 84Chi Psc| 
  5575|  7107||
  5578|  7134||
  5579| ||
  5586|  7106| 83Tau Psc| 
  5589|  6972| 32    Cas| 
  5594|  7147| 34    Cet| 
  5623|  7442||
  5625|  7202||
  5626|  6798|          | 
  5631|  7193||
  5636|  7259|          | 
  5644|  7234||
  5643| || 
  5646|  7218||
  5647|  7208||
  5650|  7158|          | 
  5661|  7312|          | 
  5663|  7279||
  5665|  7311||
  5666|  7268||
  5671|  7215||
  5674|  7169||
  5677|  7189||
  5679|  7229|          | 
  5682|  7228||
  5684|  7205|| 
  5687| ||
  5688|  7157|          | 
  5694|  7254||
  5696|  7156||
  5697|  7320||
  5704|  7321||
  5709|  7382||
  5716|  7266||
